start_station_id,start_lat,start_lng,city,state,postcode
2733.03,40.633386339620365,-74.01656483148147,New York,New York,10120
2782.02,40.63576174408081,-74.01993203417676,New York,New York,10120
2821.05,40.63554129875316,-74.01300360017088,New York,New York,10120
2832.03,40.637016609502076,-74.02215699019918,New York,New York,10009
2861.02,40.63859231954545,-74.01017189748252,New York,New York,11227
2872.02,40.63766431834146,-74.01779673397562,New York,New York,11206
2883.03,40.638270908708336,-74.02470908824999,New York,New York,10010
2912.08,40.63822074186138,-74.01380798576237,New York,New York,11206
2923.01,40.6398678007973,-74.01979550143243,New York,New York,10040
2932.03,40.6394096813924,-74.02680027338818,New York,New York,10029
2951.05,40.63970261488398,-74.00897880845304,New York,New York,10010
2961.05,40.64015781106763,-74.01574359476813,New York,New York,10010
2971.02,40.63997699223529,-74.0232562142353,New York,New York,10069
3000.08,40.64077293876859,-74.01107853954547,New York,New York,10011
3007.05,40.64206022961778,-73.98105444564443,New York,New York,10069
3011.03,40.641284018448864,-74.01763112363068,New York,New York,10009
3019.02,40.64048329052,-74.02562210212,New York,New York,10011
3019.03,40.64245221471834,-74.02554689731114,New York,New York,10009
3038.08,40.6425228524589,-74.00607163287671,New York,New York,10009
3046.03,40.64382362371429,-73.97745453878261,New York,New York,10010
3050.03,40.64242604434194,-74.01335249096773,New York,New York,10009
3056.05,40.64357704212273,-73.98638938506818,New York,New York,10011
3084.05,40.64276606083459,-74.00948423258647,New York,New York,10005
3090.06,40.64283519079695,-73.97920623844163,New York,New York,11238
3093.07,40.64266508657789,-74.01688672740201,New York,New York,10011
3117.05,40.644782876181814,-74.00377751572402,New York,New York,10010
3125.09,40.64466563686745,-73.97453259080909,New York,New York,11238
3129.08,40.64335561837063,-74.01188496413985,New York,New York,11238
3135.04,40.644343078354844,-73.98426354698387,New York,New York,10011
3138.09,40.64450607364151,-74.02146223723585,New York,New York,10009
3161.02,40.64591716961582,-74.00567846289266,New York,New York,10011
3166.03,40.645086566323144,-73.97965623819213,New York,New York,10011
3169.07,40.6448902778107,-74.01455695241975,New York,New York,10011
3178.02,40.646376477612904,-74.02307231571776,New York,New York,10011
3192.05,40.64735821731752,-74.0009302307414,New York,New York,10039
3199.01,40.647711919453336,-73.97368092315111,New York,New York,10011
3202.06,40.646361223319275,-74.00930846234638,New York,New York,10011
3208.07,40.64600574339147,-73.98095917286047,New York,New York,10010
3211.06,40.64746189965967,-74.01886152959243,New York,New York,10069
3220.01,40.64647858079739,-74.02608569702615,New York,New York,10120
3230.01,40.64851797973684,-73.97052392136843,New York,New York,10120
3233.06,40.64709097911765,-74.00445608539009,New York,New York,10120
3240.15,40.64902269739892,-73.9767679744744,New York,New York,10010
3243.02,40.64912961431461,-74.0123490545955,New York,New York,10010
3253.01,40.649289819596156,-74.02009672092308,New York,New York,11206
3266.01,40.6481911030625,-74.00003800699687,New York,New York,10010
3272.01,40.64808429910903,-73.97244866413706,New York,New York,10120
3275.03,40.64914012667663,-74.00947347828533,New York,New York,10009
3280.04,40.6480049663996,-73.97937520618474,New York,New York,10009
3283.05,40.65015926250769,-74.01558442532308,New York,New York,10009
3303.01,40.64970387090443,-73.96779602851748,New York,New York,10009
3306.03,40.64997074124175,-74.00516912414285,New York,New York,10009
3312.07,40.65171285832046,-73.9759820154054,New York,New York,10009
3315.05,40.65119909469318,-74.01141641843182,New York,New York,10009
3344.02,40.65155990829308,-73.97219447523564,New York,New York,10009
3347.03,40.65136003693957,-74.00716229806042,New York,New York,10009
3353.04,40.6507658020145,-73.9776877898744,New York,New York,10009
3356.07,40.65230454450566,-74.01346013167901,New York,New York,10009
3376.02,40.65188299468221,-73.96528089740316,New York,New York,10009
3379.03,40.65261289121428,-74.00240167396429,New York,New York,10009
3385.06,40.652540794479194,-73.97256550108887,New York,New York,10009
3388.02,40.65247615097727,-74.00886730463637,New York,New York,10009
3394.03,40.651699713114944,-73.98123548087355,New York,New York,10009
3420.01,40.654147942058636,-74.00421550697395,New York,New York,10009
3426.02,40.65335558379325,-73.97628742140084,New York,New York,10009
3428.04,40.652894637107494,-74.01286591290557,New York,New York,10009
3439.03,40.65521660102241,-73.95640023861345,New York,New York,11206
3451.01,40.65412647611268,-74.00115910284507,New York,New York,11227
3457.03,40.654904916571205,-73.973243388856,New York,New York,10008
3460.01,40.65714644648624,-74.00865876042343,New York,New York,10458
3460.02,40.65573340042204,-74.00669287995842,New York,New York,10120
3460.04,40.65632217432433,-74.0096470254054,New York,New York,10105
3460.05,40.655749087150035,-74.00995333905594,New York,New York,10004
3480.04,40.655649215320366,-73.95963206047026,New York,New York,10120
3486.02,40.656664798279664,-73.93114629147458,New York,New York,10029
3492.04,40.655274552163796,-74.0030727584023,New York,New York,10010
3498.09,40.657278499677965,-73.97416948657934,New York,New York,10008
3504.02,40.65790457218182,-73.94738535113333,New York,New York,10010
3507.04,40.65666951875261,-73.98383680332752,New York,New York,10105
3512.03,40.65687940032064,-73.95333351124127,New York,New York,10029
3515.01,40.658011628043916,-73.98965047608108,New York,New York,10010
3520.01,40.65793818485092,-73.96048262052982,New York,New York,11206
3523.06,40.657005566570795,-73.99821899198673,New York,New York,10118
3526.06,40.6580734876,-73.93417145856,New York,New York,10029
3532.02,40.65915437068056,-74.00661020144445,New York,New York,10010
3535.02,40.657934836474816,-73.93966947221583,New York,New York,10009
3538.09,40.65631728684987,-73.97732028112793,New York,New York,10009
3544.02,40.65708801948786,-73.95001795216263,New York,New York,11206
3547.04,40.65850861131273,-73.98556449426546,New York,New York,10008
