"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
2022,"2021-01-01 00:07:14.3140","2021-01-01 00:40:56.5830",4232,"6 Ave & W 45 St",40.756951,-73.982631,3167,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842,50029,"Subscriber",1980,1
664,"2021-01-01 00:07:15.0000","2021-01-01 00:18:19.4180",533,"Broadway & W 38 St",40.75299641,-73.98721619,3799,"6 Ave & W 34 St",40.74964,-73.98805,41972,"Subscriber",1968,1
317,"2021-01-01 00:07:16.7570","2021-01-01 00:12:34.5930",3637,"Fulton St & Waverly Ave",40.683238654603414,-73.96599590778351,366,"Clinton Ave & Myrtle Ave",40.693261,-73.968896,39167,"Subscriber",1987,1
452,"2021-01-01 00:07:18.0000","2021-01-01 00:14:50.1610",301,"E 2 St & Avenue B",40.72217444,-73.98368779,502,"Henry St & Grand St",40.714211,-73.981095,43143,"Subscriber",1996,1
379,"2021-01-01 00:07:57.5560","2021-01-01 00:14:17.1500",540,"Lexington Ave & E 29 St",40.74311555376486,-73.98215353488922,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,46780,"Subscriber",1975,2
426,"2021-01-01 00:08:05.9370","2021-01-01 00:15:12.3920",3381,"3 St & Hoyt St",40.6777287,-73.99364123,3404,"7 St & 5 Ave",40.6704922,-73.98541675,38928,"Subscriber",1984,2
803,"2021-01-01 00:08:06.0230","2021-01-01 00:21:29.2830",3520,"Adam Clayton Powell Blvd & W 118 St",40.804372,-73.951475,3139,"E 72 St & Park Ave",40.77118287540658,-73.96409422159195,36436,"Subscriber",1992,2
1308,"2021-01-01 00:08:10.1570","2021-01-01 00:29:59.0700",3135,"E 75 St & 3 Ave",40.77112927,-73.95772297,293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,44524,"Subscriber",1964,1
437,"2021-01-01 00:08:12.0890","2021-01-01 00:15:29.9330",3296,"E 93 St & 2 Ave",40.782454175279874,-73.9489196240902,3140,"1 Ave & E 78 St",40.77140426,-73.9535166,31232,"Subscriber",1976,2
350,"2021-01-01 00:08:25.7640","2021-01-01 00:14:16.5540",3553,"Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,3535,"Mt Morris Park W & W 120 St",40.804038,-73.945925,24859,"Subscriber",1988,2
570,"2021-01-01 00:08:30.8410","2021-01-01 00:18:01.5150",3156,"E 72 St & York Ave",40.76663814,-73.95348296,3296,"E 93 St & 2 Ave",40.782454175279874,-73.9489196240902,40574,"Subscriber",1992,1
2650,"2021-01-01 00:08:33.1490","2021-01-01 00:52:43.3860",500,"Broadway & W 51 St",40.76228826,-73.98336183,4015,"W 155 St & Frederick Douglass Blvd",40.82923,-73.936996,48809,"Customer",1985,1
2744,"2021-01-01 00:08:33.2400","2021-01-01 00:54:17.5990",500,"Broadway & W 51 St",40.76228826,-73.98336183,4015,"W 155 St & Frederick Douglass Blvd",40.82923,-73.936996,48240,"Customer",2003,1
1307,"2021-01-01 00:08:34.8220","2021-01-01 00:30:22.4680",3156,"E 72 St & York Ave",40.76663814,-73.95348296,3506,"Lexington Ave & E 120 St",40.8013066,-73.9398167,45607,"Subscriber",1993,1
670,"2021-01-01 00:08:46.0140","2021-01-01 00:19:56.7670",497,"E 17 St & Broadway",40.73704984,-73.99009296,4219,"W 35 St & 9 Ave",40.75414519263519,-73.9960889518261,49603,"Subscriber",1995,0
1526,"2021-01-01 00:08:51.0910","2021-01-01 00:34:17.5340",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,468,"Broadway & W 56 St",40.7652654,-73.98192338,37229,"Subscriber",1969,0
1306,"2021-01-01 00:08:51.6870","2021-01-01 00:30:38.4060",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,41151,"Subscriber",1971,1
366,"2021-01-01 00:09:07.0360","2021-01-01 00:15:13.4810",3381,"3 St & Hoyt St",40.6777287,-73.99364123,3404,"7 St & 5 Ave",40.6704922,-73.98541675,41174,"Subscriber",1984,1
1060,"2021-01-01 00:09:21.4290","2021-01-01 00:27:02.0410",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,442,"W 27 St & 7 Ave",40.746647,-73.993915,37035,"Subscriber",1992,1
1065,"2021-01-01 00:09:26.9070","2021-01-01 00:27:12.0910",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,442,"W 27 St & 7 Ave",40.746647,-73.993915,48430,"Subscriber",1990,1
135,"2021-01-01 00:09:30.5540","2021-01-01 00:11:46.5190",504,"1 Ave & E 16 St",40.73221853,-73.98165557,297,"E 15 St & 3 Ave",40.734232,-73.986923,37496,"Subscriber",1984,1
4613,"2021-01-01 00:09:31.3860","2021-01-01 01:26:24.4460",3072,"Leonard St & Boerum St",40.70583339,-73.94644578,397,"Fulton St & Clermont Ave",40.68415748,-73.96922273,48985,"Customer",1994,2
